Tanggal,mean_wib,mean_wita,mean_wit
2020-09-08,13372.0,14342.0,15412.0
2020-09-09,13392.0,14342.0,15412.0
2020-09-10,13392.0,14350.0,15412.0
2020-09-11,13400.0,14375.0,15412.0
2020-09-12,13400.0,14375.0,15412.0
2020-09-13,13400.0,14375.0,15412.0
2020-09-14,13422.0,14388.0,15412.0
2020-09-15,13431.0,14388.0,15412.0
2020-09-16,13450.0,14412.0,15412.0
2020-09-17,13444.0,14417.0,15412.0
2020-09-18,13458.0,14421.0,15412.0
2020-09-19,13458.0,14421.0,15412.0
2020-09-20,13458.0,14421.0,15412.0
2020-09-21,13519.0,14438.0,15412.0
2020-09-22,13553.0,14438.0,15412.0
2020-09-23,13581.0,14446.0,15412.0
2020-09-24,13597.0,14462.0,15412.0
2020-09-25,13611.0,14462.0,15412.0
2020-09-26,13611.0,14462.0,15412.0
2020-09-27,13611.0,14462.0,15412.0
2020-09-28,13617.0,14462.0,15412.0
2020-09-29,13614.0,14462.0,15412.0
2020-09-30,13622.0,14462.0,15412.0
2020-10-01,13619.0,14488.0,15438.0
2020-10-02,13622.0,14483.0,15438.0
2020-10-03,13622.0,14483.0,15438.0
2020-10-04,13622.0,14483.0,15438.0
2020-10-05,13619.0,14467.0,15438.0
2020-10-06,13614.0,14475.0,15375.0
2020-10-07,13614.0,14475.0,15375.0
2020-10-08,13606.0,14488.0,15375.0
2020-10-09,13608.0,14492.0,15375.0
2020-10-10,13608.0,14492.0,15375.0
2020-10-11,13608.0,14492.0,15375.0
2020-10-12,13617.0,14500.0,15375.0
2020-10-13,13619.0,14504.0,15375.0
2020-10-14,13619.0,14504.0,15375.0
2020-10-15,13625.0,14512.0,15375.0
2020-10-16,13625.0,14517.0,15375.0
2020-10-17,13625.0,14517.0,15375.0
2020-10-18,13625.0,14517.0,15375.0
2020-10-19,13633.0,14529.0,15388.0
2020-10-20,13636.0,14533.0,15388.0
2020-10-21,13636.0,14538.0,15375.0
2020-10-22,13647.0,14538.0,15412.0
2020-10-23,13650.0,14546.0,15412.0
2020-10-24,13650.0,14546.0,15412.0
2020-10-25,13650.0,14546.0,15412.0
2020-10-26,13650.0,14588.0,15400.0
2020-10-27,13653.0,14588.0,15512.0
2020-10-28,13653.0,14588.0,15512.0
2020-10-29,13653.0,14588.0,15512.0
2020-10-30,13653.0,14588.0,15512.0
2020-10-31,13653.0,14588.0,15512.0
2020-11-01,13653.0,14588.0,15512.0
2020-11-02,13714.0,14692.0,15400.0
2020-11-03,13706.0,14708.0,15400.0
2020-11-04,13706.0,14729.0,15400.0
2020-11-05,13703.0,14742.0,15400.0
2020-11-06,13708.0,14746.0,15400.0
2020-11-07,13708.0,14746.0,15400.0
2020-11-08,13708.0,14746.0,15400.0
2020-11-09,13722.0,14775.0,15412.0
2020-11-10,13725.0,14746.0,15338.0
2020-11-11,13742.0,14754.0,15412.0
2020-11-12,13750.0,14758.0,15412.0
2020-11-13,13750.0,14767.0,15438.0
2020-11-14,13750.0,14767.0,15438.0
2020-11-15,13750.0,14767.0,15438.0
2020-11-16,13775.0,14750.0,15375.0
2020-11-17,13789.0,14758.0,15375.0
2020-11-18,13800.0,14771.0,15400.0
2020-11-19,13811.0,14779.0,15400.0
2020-11-20,13814.0,14775.0,15400.0
2020-11-21,13814.0,14775.0,15400.0
2020-11-22,13814.0,14775.0,15400.0
2020-11-23,13811.0,14779.0,15400.0
2020-11-24,13831.0,14779.0,15400.0
2020-11-25,13822.0,14796.0,15400.0
2020-11-26,13844.0,14779.0,15400.0
2020-11-27,13850.0,14775.0,15412.0
2020-11-28,13850.0,14775.0,15412.0
2020-11-29,13850.0,14775.0,15412.0
2020-11-30,13856.0,14779.0,15438.0
2020-12-01,13861.0,14779.0,15312.0
2020-12-02,13864.0,14842.0,15475.0
2020-12-03,13861.0,14842.0,15475.0
2020-12-04,13864.0,14775.0,15475.0
2020-12-05,13864.0,14775.0,15475.0
2020-12-06,13864.0,14775.0,15475.0
2020-12-07,13869.0,14796.0,15475.0
2020-12-08,13872.0,14796.0,15475.0
2020-12-09,13872.0,14796.0,15475.0
2020-12-10,13889.0,14796.0,15450.0
2020-12-11,13889.0,14796.0,15450.0
2020-12-12,13889.0,14796.0,15450.0
2020-12-13,13889.0,14796.0,15450.0
2020-12-14,13889.0,14796.0,15450.0
2020-12-15,13894.0,14796.0,15450.0
2020-12-16,13900.0,14796.0,15450.0
2020-12-17,13900.0,14796.0,15450.0
2020-12-18,13917.0,14792.0,15450.0
2020-12-19,13917.0,14792.0,15450.0
2020-12-20,13917.0,14792.0,15450.0
2020-12-21,13919.0,14812.0,15450.0
2020-12-22,13919.0,14800.0,15525.0
2020-12-23,13925.0,14800.0,15525.0
2020-12-24,13925.0,14800.0,15525.0
2020-12-25,13925.0,14800.0,15525.0
2020-12-26,13925.0,14800.0,15525.0
2020-12-27,13925.0,14800.0,15525.0
2020-12-28,13914.0,14762.0,15588.0
2020-12-29,13931.0,14754.0,15588.0
2020-12-30,13931.0,14788.0,15588.0
2020-12-31,13931.0,14788.0,15588.0
2021-01-01,13931.0,14788.0,15588.0
2021-01-02,13931.0,14788.0,15588.0
2021-01-03,13931.0,14788.0,15588.0
2021-01-04,13956.0,14779.0,15625.0
2021-01-05,13958.0,14792.0,16012.0
2021-01-06,13961.0,14771.0,15938.0
2021-01-07,13953.0,14771.0,15938.0
2021-01-08,13961.0,14783.0,15938.0
2021-01-09,13961.0,14783.0,15938.0
2021-01-10,13961.0,14783.0,15938.0
2021-01-11,13986.0,14779.0,15938.0
2021-01-12,14000.0,14775.0,16000.0
2021-01-13,14006.0,14779.0,16000.0
2021-01-14,14011.0,14783.0,15975.0
2021-01-15,14019.0,14783.0,16000.0
2021-01-16,14019.0,14783.0,16000.0
2021-01-17,14019.0,14783.0,16000.0
2021-01-18,14006.0,14800.0,15975.0
2021-01-19,14011.0,14796.0,15925.0
2021-01-20,14025.0,14796.0,15925.0
2021-01-21,14028.0,14775.0,15925.0
2021-01-22,14028.0,14800.0,15925.0
2021-01-23,14028.0,14800.0,15925.0
2021-01-24,14028.0,14800.0,15925.0
2021-01-25,14025.0,14796.0,15925.0
2021-01-26,14022.0,14796.0,15925.0
2021-01-27,14008.0,14800.0,15800.0
2021-01-28,14003.0,14800.0,15800.0
2021-01-29,13994.0,14792.0,15800.0
2021-01-30,13994.0,14792.0,15800.0
2021-01-31,13994.0,14792.0,15800.0
2021-02-01,14000.0,14771.0,15800.0
2021-02-02,13992.0,14783.0,15800.0
2021-02-03,13986.0,14788.0,15812.0
2021-02-04,13986.0,14792.0,15812.0
2021-02-05,13992.0,14792.0,15812.0
2021-02-06,13992.0,14792.0,15812.0
2021-02-07,13992.0,14792.0,15812.0
2021-02-08,13992.0,14808.0,15850.0
2021-02-09,13992.0,14800.0,15825.0
2021-02-10,14003.0,14796.0,15938.0
2021-02-11,14000.0,14796.0,15938.0
2021-02-12,14000.0,14796.0,15938.0
2021-02-13,14000.0,14796.0,15938.0
2021-02-14,14000.0,14796.0,15938.0
2021-02-15,13997.0,14800.0,15938.0
2021-02-16,13997.0,14800.0,15938.0
2021-02-17,14000.0,14800.0,15938.0
2021-02-18,14000.0,14804.0,16025.0
2021-02-19,14000.0,14804.0,15938.0
2021-02-20,14000.0,14804.0,15938.0
2021-02-21,14000.0,14804.0,15938.0
2021-02-22,13997.0,14821.0,15938.0
2021-02-23,13994.0,14821.0,15950.0
2021-02-24,14003.0,14821.0,15950.0
2021-02-25,14003.0,14821.0,15962.0
2021-02-26,14017.0,14821.0,15962.0
2021-02-27,14017.0,14821.0,15962.0
2021-02-28,14017.0,14821.0,15962.0
2021-03-01,14039.0,14833.0,15962.0
2021-03-02,14042.0,14842.0,15962.0
2021-03-03,14050.0,14829.0,15975.0
2021-03-04,14061.0,14825.0,15975.0
2021-03-05,14064.0,14854.0,16000.0
2021-03-06,14064.0,14854.0,16000.0
2021-03-07,14064.0,14854.0,16000.0
2021-03-08,14067.0,14875.0,15975.0
2021-03-09,14072.0,14879.0,15975.0
2021-03-10,14072.0,14883.0,15988.0
2021-03-11,14072.0,14883.0,15988.0
2021-03-12,14061.0,14888.0,15975.0
2021-03-13,14061.0,14888.0,15975.0
2021-03-14,14061.0,14888.0,15975.0
2021-03-15,14111.0,14904.0,15975.0
2021-03-16,14133.0,14904.0,15975.0
2021-03-17,14167.0,14908.0,16000.0
2021-03-18,14175.0,14938.0,16000.0
2021-03-19,14189.0,14938.0,16000.0
2021-03-20,14189.0,14938.0,16000.0
2021-03-21,14189.0,14938.0,16000.0
2021-03-22,14222.0,14971.0,16000.0
2021-03-23,14225.0,14971.0,16000.0
2021-03-24,14253.0,14975.0,15938.0
2021-03-25,14250.0,14971.0,16000.0
2021-03-26,14264.0,14967.0,16012.0
2021-03-27,14264.0,14967.0,16012.0
2021-03-28,14264.0,14967.0,16012.0
2021-03-29,14267.0,14962.0,16012.0
2021-03-30,14267.0,14954.0,16012.0
2021-03-31,14278.0,14962.0,15988.0
2021-04-01,14281.0,14983.0,16012.0
2021-04-02,14281.0,14983.0,16012.0
2021-04-03,14281.0,14983.0,16012.0
2021-04-04,14281.0,14983.0,16012.0
2021-04-05,14292.0,14988.0,16075.0
2021-04-06,14289.0,15029.0,16075.0
2021-04-07,14331.0,15033.0,16075.0
2021-04-08,14342.0,15033.0,16088.0
